Date,Sales
2016-09-04,272.46
2016-09-05,75.06
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,40.95
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,109.34
2016-10-03,595.14
2016-10-04,14075.31
2016-10-05,16319.57
2016-10-06,11645.27
2016-10-07,10492.23
2016-10-08,10837.87
2016-10-09,6895.09
2016-10-10,5088.36
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,61.99
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,19.62
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,707.27
2017-01-06,988.28
2017-01-07,2294.5099999999998
2017-01-08,809.63
2017-01-09,882.63
2017-01-10,1571.17
2017-01-11,3062.33
2017-01-12,3256.45
2017-01-13,2903.9700000000003
2017-01-14,1507.36
2017-01-15,3556.48
2017-01-16,5294.02
2017-01-17,4742.07
2017-01-18,4898.54
2017-01-19,5799.98
2017-01-20,8306.46
2017-01-21,6671.86
2017-01-22,5091.599999999999
2017-01-23,10151.1
2017-01-24,9629.76
2017-01-25,12596.65
2017-01-26,18881.29
2017-01-27,16037.99
2017-01-28,5987.98
2017-01-29,9474.34
2017-01-30,26778.75
2017-01-31,17133.19
2017-02-01,11093.53
2017-02-02,11854.56
2017-02-03,12712.47
2017-02-04,17974.06
2017-02-05,12141.24
2017-02-06,12255.9
2017-02-07,22192.55
2017-02-08,16217.77
2017-02-09,12017.19
2017-02-10,17648.34
2017-02-11,6554.84
2017-02-12,17211.37
2017-02-13,16132.33
2017-02-14,19003.71
2017-02-15,8663.64
2017-02-16,8647.8
2017-02-17,11948.3
2017-02-18,13267.33
2017-02-19,4913.28
2017-02-20,10772.58
2017-02-21,11017.15
2017-02-22,10848.53
2017-02-23,14871.58
2017-02-24,9898.21
2017-02-25,7018.62
2017-02-26,7645.64
2017-02-27,8805.61
2017-02-28,16373.8
2017-03-01,23275.079999999998
2017-03-02,14818.23
2017-03-03,15974.58
2017-03-04,18476.55
2017-03-05,10883.02
2017-03-06,15934.46
2017-03-07,19087.99
2017-03-08,21757.76
2017-03-09,19842.82
2017-03-10,17167.08
2017-03-11,15222.7
2017-03-12,8778.92
2017-03-13,20573.32
2017-03-14,22128.65
2017-03-15,20709.57
2017-03-16,24188.43
2017-03-17,16127.26
2017-03-18,19397.72
2017-03-19,8395.68
2017-03-20,23558.56
2017-03-21,17003.25
2017-03-22,20234.93
2017-03-23,30982.7
2017-03-24,15134.18
2017-03-25,14454.1
2017-03-26,8600.82
2017-03-27,22562.670000000002
2017-03-28,17964.33
2017-03-29,12499.55
2017-03-30,14626.82
2017-03-31,14376.5
2017-04-01,21242.64
2017-04-02,18305.97
2017-04-03,14773.34
2017-04-04,17230.36
2017-04-05,21421.09
